date,mv_gross_nav_no_trading_cost,mv_net_nav_no_trading_cost,mv_no_trading_cost,mv_constraints_gross_no_trading_cost,mv_constraints_net_no_trading_cost,mv__no_trading_cost,mi_constraints_gross_no_trading_cost,mi_constraints_net_no_trading_cost,mi_no_trading_cost,ew_gross_nav_no_trading_cost,ew_net_nav_no_trading_cost,ew_no_trading_cost,capm_constraints_gross_no_trading_cost,capm_constraints_net_no_trading_cost,capm_no_trading_cost,mv_gross_nav,mv_net_nav,mv,mv_constraints_gross,mv_constraints_net,mv_,mi_constraints_gross,mi_constraints_net,mi,ew_gross_nav,ew_net_nav,ew,capm_constraints_gross,capm_constraints_net,capm
1/28/2017,21662293,21268246,101742474.1,19374818,19016193,101720780.1,15122298,14733153,100625839.9,-314068,-349551,103146610.9,25012544,24638052,101926478,28488168,28100693,101374485.4,26177058,25846834,102307581.5,26833889,26489398,102299195.6,28488168,28100693,101374485.4,26833889,26489398,102299195.6
1/29/2017,21662293,21268246,101742474.1,19374818,19016193,101720780.1,15122298,14733153,100625839.9,-314068,-349551,103146610.9,25012544,24638052,101926478,28488168,28100693,101374485.4,26177058,25846834,102307581.5,26833889,26489398,102299195.6,28488168,28100693,101374485.4,26833889,26489398,102299195.6
1/30/2017,21700172,21306126,100472179.4,19359171,19000545,100757128.7,15157091,14767946,99470757.48,-171187,-206670,101707657.5,24928981,24554488,100960098.7,28315711,27928236,100013872.8,25965621,25635396,101238949.8,26662409,26317918,101246215.1,28315711,27928236,100013872.8,26662409,26317918,101246215.1
1/31/2017,21792468,21398421,100995107.7,19381846,19023221,101140299.3,15193411,14804265,99938818.94,-42626,-78109,102361481.5,25010377,24635884,101280471.8,28333748,27946273,100501272.8,26025660,25695435,101644290.3,26705870,26361379,101623235.4,28333748,27946273,100501272.8,26705870,26361379,101623235.4
2/1/2017,21896183,21502136,100905620.9,19357793,18999167,100891145.6,15235278,14846133,99738125.61,94379,58896,102482202.6,25026555,24652063,100986408.7,28309265,27921790,100424657,25893516,25563291,101439336.9,26631086,26286595,101469486.9,28309265,27921790,100424657,26631086,26286595,101469486.9
2/2/2017,21951827,21557781,100802669.4,19405974,19047349,100758748.2,15280523,14891378,99570726.67,206101,170618,102186965.1,25072040,24697547,100900930.3,28438063,28050588,100447055.3,26027837,25697612,101349504.6,26774641,26430149,101379719.6,28438063,28050588,100447055.3,26774641,26430149,101379719.6
2/3/2017,21994244,21600197,101996535,19422520,19063894,101812437.9,15292476,14903331,100774854.8,-39024,-74507,103466631.3,25197581,24823089,101989167.7,28509106,28121631,101598677.7,26014329,25684104,102352220.5,26777251,26432760,102381423,28509106,28121631,101598677.7,26777251,26432760,102381423
2/4/2017,21994244,21600197,101996535,19422520,19063894,101812437.9,15292476,14903331,100774854.8,-39024,-74507,103466631.3,25197581,24823089,101989167.7,28509106,28121631,101598677.7,26014329,25684104,102352220.5,26777251,26432760,102381423,28509106,28121631,101598677.7,26777251,26432760,102381423
2/5/2017,21994244,21600197,101996535,19422520,19063894,101812437.9,15292476,14903331,100774854.8,-39024,-74507,103466631.3,25197581,24823089,101989167.7,28509106,28121631,101598677.7,26014329,25684104,102352220.5,26777251,26432760,102381423,28509106,28121631,101598677.7,26777251,26432760,102381423
2/6/2017,22030187,21636140,101643702.2,19442310,19083685,101395783.5,15329442,14940297,100269605.5,163387,127904,103067698.3,25208098,24833605,101514315.2,28512837,28125362,101241162.9,26028577,25698352,102021117.1,26825230,26480739,102054538.5,28512837,28125362,101241162.9,26825230,26480739,102054538.5
2/7/2017,22093680,21699633,101383709.8,19509545,19150920,101208613,15384893,14995748,100003099.9,131863,96380,102702689.5,25177156,24802664,101333617.3,28536135,28148660,100994972.1,25974981,25644756,101829274.8,26808053,26463562,101865653.9,28536135,28148660,100994972.1,26808053,26463562,101865653.9
2/8/2017,22113989,21719942,101330291.1,19605362,19246737,101318563.6,15434566,15045421,99836703.3,-34791,-70273,102697139.5,25175154,24800662,101351212.1,28624784,28237309,100878676.5,26094798,25764573,102011451.8,26985614,26641123,102008963,28624784,28237309,100878676.5,26985614,26641123,102008963
2/9/2017,22226793,21832747,102448884.4,19714238,19355613,102450450,15503911,15114766,100973614.9,118227,82744,103903468.3,25298470,24923978,102465980.2,28809509,28422034,101944542.3,26377099,26046874,103139600.3,27265971,26921480,103164537.8,28809509,28422034,101944542.3,27265971,26921480,103164537.8
2/10/2017,22247338,21853292,103220391.7,19720647,19362022,103086138.7,15528810,15139665,101687165.5,-192510,-227993,104708053.2,25383985,25009492,103150657.4,28845218,28457743,102711841.1,26405604,26075380,103688624.7,27287151,26942660,103721965.2,28845218,28457743,102711841.1,27287151,26942660,103721965.2
2/11/2017,22247338,21853292,103220391.7,19720647,19362022,103086138.7,15528810,15139665,101687165.5,-192510,-227993,104708053.2,25383985,25009492,103150657.4,28845218,28457743,102711841.1,26405604,26075380,103688624.7,27287151,26942660,103721965.2,28845218,28457743,102711841.1,27287151,26942660,103721965.2
2/12/2017,22247338,21853292,103220391.7,19720647,19362022,103086138.7,15528810,15139665,101687165.5,-192510,-227993,104708053.2,25383985,25009492,103150657.4,28845218,28457743,102711841.1,26405604,26075380,103688624.7,27287151,26942660,103721965.2,28845218,28457743,102711841.1,27287151,26942660,103721965.2
2/13/2017,22346411,21952364,103539959.6,19792511,19433886,103400015.9,15623593,15234447,102049706.8,-155838,-191321,104983362.3,25413469,25038977,103520342.1,28813808,28426333,103024482.6,26444083,26113858,104136775.3,27367514,27023023,104141986.9,28813808,28426333,103024482.6,27367514,27023023,104141986.9
2/14/2017,22409350,22015303,103868040.9,19830011,19471386,103718562.3,15664853,15275707,102298248.6,-21089,-56572,105318449.6,25492586,25118094,103787807.6,28959242,28571767,103300518.2,26569636,26239411,104439561.6,27491027,27146536,104438651.6,28959242,28571767,103300518.2,27491027,27146536,104438651.6
2/15/2017,22498140,22104093,104340052.3,19928501,19569876,104299606.1,15737194,15348048,102833874.2,101307,65824,105862756.3,25574919,25200427,104391605.6,29099684,28712209,103761995.5,26768009,26437784,105049865.3,27740374,27395883,105098559.8,29099684,28712209,103761995.5,27740374,27395883,105098559.8
2/16/2017,22565758,22171711,103997358.1,19915537,19556912,104035783,15772856,15383711,102567045.1,-152020,-187503,105389393.2,25567677,25193184,104155771.2,28923728,28536253,103323940.5,26744113,26413888,104729210.3,27687318,27342827,104781034.5,28923728,28536253,103323940.5,27687318,27342827,104781034.5
2/17/2017,22653681,22259634,103997257.2,19952236,19593610,104051512.7,15812493,15423348,102574791.6,-113948,-149430,105429230.3,25629687,25255194,104122379,29086741,28699266,103434152.2,26792441,26462216,104698428.9,27743528,27399037,104784609,29086741,28699266,103434152.2,27743528,27399037,104784609
2/18/2017,22653681,22259634,103997257.2,19952236,19593610,104051512.7,15812493,15423348,102574791.6,-113948,-149430,105429230.3,25629687,25255194,104122379,29086741,28699266,103434152.2,26792441,26462216,104698428.9,27743528,27399037,104784609,29086741,28699266,103434152.2,27743528,27399037,104784609
2/19/2017,22653681,22259634,103997257.2,19952236,19593610,104051512.7,15812493,15423348,102574791.6,-113948,-149430,105429230.3,25629687,25255194,104122379,29086741,28699266,103434152.2,26792441,26462216,104698428.9,27743528,27399037,104784609,29086741,28699266,103434152.2,27743528,27399037,104784609
2/20/2017,22653681,22259634,103997257.2,19952236,19593610,104051512.7,15812493,15423348,102574791.6,-113948,-149430,105429230.3,25629687,25255194,104122379,29086741,28699266,103434152.2,26792441,26462216,104698428.9,27743528,27399037,104784609,29086741,28699266,103434152.2,27743528,27399037,104784609
2/21/2017,22725970,22331923,104694234.5,20051287,19692662,104795417.4,15863174,15474029,103230015.2,-69355,-104838,106274561.8,25669396,25294904,104882688.3,29200266,28812791,104196315,26972469,26642245,105561319.3,27933340,27588849,105615795.4,29200266,28812791,104196315,27933340,27588849,105615795.4
2/22/2017,22879099,22485052,104326977.6,20135124,19776498,104395549.8,15925466,15536320,102865966.9,320111,284629,105511818.3,25676569,25302076,104487979.2,29516760,29129285,103757151.3,27194649,26864424,105059424.5,28210687,27866196,105128811.7,29516760,29129285,103757151.3,28210687,27866196,105128811.7
2/23/2017,23010053,22616006,103913438.2,20146509,19787884,103884996,15990998,15601852,102403809.4,728345,692862,104925780.9,25712406,25337913,103963443.4,29762362,29374887,103485182.9,27215374,26885149,104498508,28293453,27948961,104657939.4,29762362,29374887,103485182.9,28293453,27948961,104657939.4
2/24/2017,23109374,22715327,103950799.1,20215892,19857267,104154713.4,16040046,15650901,102533149.7,811792,776309,105034238.6,25709772,25335280,104234375.6,29835912,29448437,103611555.3,27245252,26915028,104699424.4,28370583,28026092,104877545,29835912,29448437,103611555.3,28370583,28026092,104877545
2/25/2017,23109374,22715327,103950799.1,20215892,19857267,104154713.4,16040046,15650901,102533149.7,811792,776309,105034238.6,25709772,25335280,104234375.6,29835912,29448437,103611555.3,27245252,26915028,104699424.4,28370583,28026092,104877545,29835912,29448437,103611555.3,28370583,28026092,104877545
2/26/2017,23109374,22715327,103950799.1,20215892,19857267,104154713.4,16040046,15650901,102533149.7,811792,776309,105034238.6,25709772,25335280,104234375.6,29835912,29448437,103611555.3,27245252,26915028,104699424.4,28370583,28026092,104877545,29835912,29448437,103611555.3,28370583,28026092,104877545
2/27/2017,23149542,22755496,104692167.3,20271423,19912798,104863211.4,16081951,15692805,103174502,928028,892545,106117314.1,25865113,25490620,104900524.3,29886660,29499185,104402072.5,27153973,26823748,105471072.7,28291271,27946780,105662483.5,29886660,29499185,104402072.5,28291271,27946780,105662483.5
2/28/2017,23214492,22820445,103468422,20344066,19985441,103839530.6,16142405,15753260,102016165.5,1189788,1154306,104495724.8,25747275,25372783,103912877.7,29854567,29467092,103354522.4,27265505,26935280,104457552.9,28418085,28073594,104669738.3,29854567,29467092,103354522.4,28418085,28073594,104669738.3
3/1/2017,23384672,22990625,105317620.9,20436766,20078140,105668187.6,16217911,15828766,103809315.8,1302819,1267336,106580851.6,25883736,25509243,105758222.5,30236288,29848813,105242541.3,27568256,27238031,106327910.3,28716030,28371539,106551723.1,30236288,29848813,105242541.3,28716030,28371539,106551723.1
3/2/2017,23412475,23018428,104184570.5,20441319,20082694,104610931.3,16233266,15844121,102637652.8,1752341,1716858,105404242.6,25753141,25378648,104731153.1,30322047,29934572,104093782.4,27639904,27309679,105273124.8,28829433,28484942,105470542.6,30322047,29934572,104093782.4,28829433,28484942,105470542.6
3/3/2017,23473716,23079670,104142454.3,20466366,20107740,104552004.4,16265468,15876322,102559614,1657799,1622316,105382469.1,25832573,25458081,104683405.9,30331126,29943651,103933960.4,27591964,27261739,105193577.1,28823955,28479464,105424323.7,30331126,29943651,103933960.4,28823955,28479464,105424323.7
3/4/2017,23473716,23079670,104142454.3,20466366,20107740,104552004.4,16265468,15876322,102559614,1657799,1622316,105382469.1,25832573,25458081,104683405.9,30331126,29943651,103933960.4,27591964,27261739,105193577.1,28823955,28479464,105424323.7,30331126,29943651,103933960.4,28823955,28479464,105424323.7
